transaction_id,customer_id,amount,transaction_type,merchant_category,transaction_hour,day_of_week,customer_age,gender,city,account_tenure_days,avg_monthly_balance,credit_score,num_previous_disputes,is_new_device,is_foreign_transaction,distance_from_home_km,time_since_last_txn_hrs,daily_transaction_count,failed_txn_last_7days,is_high_risk_merchant,num_cards_linked,login_attempts_today,is_weekend,is_odd_hour,balance_to_amount_ratio,fraud_risk_score
TXN0000018,CUST02854,1332.36,NEFT,electronics,15,5,37,Male,Mumbai,742,18988.01,635,0,0,0,37.0,1.35,3,1,0,1,2,1,0,14.2407,0.0
TXN0000019,CUST02434,1119.67,ATM,grocery,19,2,38,Female,Pune,3381,21155.55,600,0,0,0,3.9,32.59,4,0,0,1,1,0,0,18.8776,0.0
TXN0000020,CUST01216,6278.73,NEFT,entertainment,18,2,54,Female,Bangalore,2397,26760.31,491,0,0,0,22.1,19.16,9,0,0,1,1,0,0,4.2614,0.0
TXN0000021,CUST00956,1891.33,Card,grocery,0,2,54,Male,Mumbai,2318,20654.27,599,0,0,0,9.0,6.25,2,0,0,4,1,0,1,10.9147,0.0628
TXN0000022,CUST02325,1829.29,UPI,dining,10,0,31,Male,Bangalore,2453,18742.8,820,0,0,1,14.9,43.19,2,0,0,1,1,0,0,10.2403,0.2048
TXN0000023,CUST01185,826.08,Card,healthcare,14,4,74,Female,Ahmedabad,2665,22056.42,647,0,0,0,26.7,43.35,4,1,1,4,1,0,0,26.6678,0.0806
TXN0000024,CUST00460,1532.46,UPI,grocery,6,1,74,Male,Ahmedabad,3231,32424.16,787,1,0,0,16.6,73.04,2,0,0,4,1,0,0,21.1444,0.0147
TXN0000025,CUST00022,2788.78,UPI,dining,7,0,22,Female,Kolkata,3241,20032.96,678,2,0,0,26.2,5.73,2,0,0,1,1,0,0,7.1808,0.095
TXN0000026,CUST02301,6599.51,Card,dining,15,6,23,Female,Hyderabad,1671,25322.34,513,0,1,0,0.7,9.13,1,0,0,4,1,1,0,3.8364,0.2152
TXN0000027,CUST00748,2049.69,ATM,entertainment,17,3,41,Female,Bangalore,1597,42034.07,679,0,0,0,10.2,12.63,2,0,0,2,1,0,0,20.4975,0.0191
TXN0000028,CUST02905,1991.98,Card,grocery,23,2,33,Female,Delhi,3343,30505.48,687,0,0,0,61.7,20.48,8,2,0,4,1,0,0,15.3065,0.0114
TXN0000029,CUST00475,1676.76,IMPS,healthcare,22,2,40,Female,Chennai,618,38280.39,597,0,1,0,28.7,2.59,2,0,0,3,1,0,0,22.8164,0.2014
TXN0000030,CUST01083,3253.16,ATM,grocery,10,1,64,Female,Kolkata,3549,27801.15,398,0,0,0,13.2,4.76,1,0,0,3,1,0,0,8.5433,0.0
TXN0000031,CUST02559,996.14,UPI,travel,0,2,55,Female,Mumbai,1852,23843.5,666,0,0,0,24.7,5.31,3,2,0,4,2,0,1,23.9119,0.0348
TXN0000032,CUST02048,3324.07,NEFT,travel,15,2,69,Female,Hyderabad,2872,40310.26,429,1,0,1,0.5,21.6,2,0,0,1,1,0,0,12.1231,0.1861
TXN0000033,CUST02748,6089.95,Card,grocery,3,1,33,Male,Chennai,3032,11690.46,883,1,0,0,6.9,7.79,2,2,0,1,1,0,1,1.9193,0.0381
TXN0000034,CUST00976,151.22,IMPS,electronics,22,4,68,Female,Pune,399,33646.49,697,0,0,0,46.7,10.38,1,1,0,1,1,0,0,221.0386,0.0
TXN0000035,CUST01807,49.14,IMPS,grocery,5,0,69,Female,Chennai,2389,37962.96,582,1,0,0,13.7,18.28,4,1,0,3,2,0,1,757.1392,0.0814
TXN0000036,CUST00190,390.47,Card,travel,10,4,30,Female,Hyderabad,2665,9963.96,376,1,0,0,61.0,12.17,1,1,0,2,1,0,0,25.4527,0.0447
TXN0000037,CUST02735,3835.69,Card,grocery,23,1,68,Male,Pune,1624,18607.42,632,0,0,0,6.2,29.42,4,1,0,3,2,0,0,4.8499,0.0
TXN0000038,CUST00563,9636.35,Card,healthcare,5,5,62,Female,Kolkata,7,27473.11,840,0,0,0,36.0,2.0,1,1,0,2,1,1,1,2.8507,0.0585
TXN0000039,CUST01900,24.48,UPI,grocery,9,6,25,Male,Chennai,2072,29763.36,515,0,1,0,0.4,7.65,6,1,0,4,1,1,0,1168.1068,0.2126
TXN0000040,CUST01268,13796.29,UPI,healthcare,5,6,55,Male,Bangalore,569,36085.62,752,2,0,0,0.1,5.89,5,0,0,3,1,1,1,2.6154,0.1079
TXN0000041,CUST02880,561.81,Card,healthcare,9,5,49,Male,Kolkata,727,13840.8,775,0,1,1,2.9,20.31,3,0,0,4,1,1,0,24.5923,0.3799
TXN0000042,CUST01529,9225.28,ATM,travel,21,5,39,Female,Hyderabad,2368,17959.3,365,0,0,0,6.1,7.9,4,0,0,3,1,1,0,1.9465,0.0
TXN0000043,CUST00647,3297.16,IMPS,travel,22,2,34,Female,Hyderabad,537,40976.48,768,1,0,0,0.9,30.49,1,0,0,2,1,0,0,12.424,0.0
TXN0000044,CUST02069,5384.61,UPI,electronics,4,6,22,Female,Pune,1480,33407.48,887,0,0,0,4.7,3.95,2,1,1,2,1,1,1,6.2031,0.1146
TXN0000045,CUST02889,3573.72,Card,unknown,8,2,25,Female,Bangalore,1442,31128.34,757,0,1,0,41.3,3.39,1,1,0,2,1,0,0,8.7079,0.1323
TXN0000046,CUST02215,3241.33,ATM,dining,6,4,67,Male,Delhi,483,25039.29,724,0,0,0,49.4,10.6,3,1,0,3,1,0,0,7.7226,0.022
TXN0000047,CUST01298,9006.0,Card,unknown,16,3,47,Female,Delhi,2614,24520.16,709,0,0,0,2.5,0.61,1,0,0,3,1,0,0,2.7223,0.0207
TXN0000048,CUST02436,7050.61,UPI,travel,11,0,36,Male,Ahmedabad,1110,33889.58,753,3,0,0,7.6,12.95,1,0,0,2,1,0,0,4.8059,0.083
TXN0000049,CUST00601,3302.45,Card,healthcare,10,2,29,Male,Chennai,2551,33301.39,811,0,0,0,18.8,17.46,6,1,0,1,1,0,0,10.0808,0.0337
TXN0000050,CUST02364,591.87,Card,travel,5,1,42,Female,Hyderabad,802,26037.21,658,0,0,0,21.6,3.65,2,2,0,2,2,0,1,43.9172,0.0292
TXN0000051,CUST02062,613.12,Card,healthcare,23,4,61,Female,Bangalore,1948,12251.59,741,0,0,0,0.6,5.29,2,0,0,1,2,0,0,19.9498,0.0
TXN0000052,CUST00242,8085.82,Card,grocery,10,6,30,Male,Pune,1793,11663.98,754,1,0,0,48.6,13.13,3,0,1,1,1,1,0,1.4423,0.0129
TXN0000053,CUST02042,3768.63,ATM,dining,10,0,21,Male,Kolkata,2811,33178.7,381,0,0,0,11.1,9.78,1,0,0,4,2,0,0,8.8016,0.0174
TXN0000054,CUST02825,3284.94,UPI,dining,13,5,27,Female,Hyderabad,1388,29058.99,330,0,1,0,11.6,11.86,5,1,0,1,3,1,0,8.8434,0.1908
TXN0000055,CUST02613,5706.04,NEFT,dining,15,3,65,Female,Kolkata,1061,22188.69,698,1,1,1,1.8,9.86,5,0,0,2,3,0,0,3.888,0.3769
TXN0000056,CUST02946,9789.36,Card,travel,1,5,45,Female,Pune,286,10174.1,833,1,0,0,14.9,8.26,6,0,1,3,3,1,1,1.0392,0.1143
TXN0000057,CUST01364,4956.06,UPI,dining,1,5,22,Male,Pune,507,38365.51,571,0,0,0,17.7,0.37,1,1,0,4,1,1,1,7.7396,0.0855
TXN0000058,CUST02140,7195.27,IMPS,grocery,4,6,45,Male,Bangalore,626,18863.39,460,1,0,0,12.2,5.59,3,0,0,4,4,1,1,2.6213,0.1041
TXN0000059,CUST01391,7246.61,UPI,dining,13,2,61,Male,Kolkata,2803,21232.53,596,0,1,0,43.7,11.11,3,0,0,3,1,0,0,2.9296,0.2423
TXN0000060,CUST01479,2202.31,NEFT,dining,20,4,48,Male,Kolkata,1212,23454.04,687,1,0,0,2.3,19.28,6,1,1,3,1,0,0,10.6449,0.0559
TXN0000061,CUST02557,1601.6,ATM,electronics,9,2,33,Female,Delhi,130,13079.61,647,1,0,0,4.1,23.82,4,1,0,2,1,0,0,8.1615,0.1549
TXN0000062,CUST00776,8076.38,UPI,entertainment,9,6,40,Female,Delhi,1948,11433.34,502,0,0,0,9.4,5.39,3,0,0,3,1,1,0,1.4155,0.0
TXN0000063,CUST00035,2367.48,ATM,grocery,17,6,46,Female,Chennai,2352,26922.6,724,1,0,0,18.8,14.43,5,0,0,1,1,1,0,11.367,0.0
TXN0000064,CUST02254,11682.57,Card,grocery,19,4,64,Female,Pune,2972,37941.42,414,0,0,0,11.0,1.03,4,0,0,1,1,0,0,3.2474,0.0
TXN0000065,CUST01956,361.19,UPI,travel,8,3,38,Female,Kolkata,2775,49562.52,835,0,0,0,38.1,5.4,7,0,0,4,2,0,0,136.8412,0.063
TXN0000066,CUST01586,299.9,IMPS,healthcare,3,6,19,Female,Pune,536,30844.32,855,0,0,0,4.8,2.08,1,0,0,2,1,1,1,102.5069,0.073
TXN0000067,CUST01022,13086.76,UPI,dining,16,1,40,Male,Bangalore,3321,43546.41,367,1,0,0,5.5,7.62,3,0,0,1,1,0,0,3.3273,0.0431
TXN0000068,CUST02614,5227.09,NEFT,healthcare,20,6,33,Female,Pune,227,31274.42,482,0,0,0,44.4,12.27,2,0,0,3,1,1,0,5.982,0.0
TXN0000069,CUST01130,2386.95,UPI,travel,1,6,28,Male,Delhi,1736,37095.39,559,0,0,0,12.6,33.98,3,0,1,4,3,1,1,15.5344,0.1244
TXN0000070,CUST01501,7033.72,UPI,entertainment,13,1,71,Female,Kolkata,3556,24836.74,358,1,1,1,21.1,22.33,4,0,0,3,1,0,0,3.5306,0.4336
TXN0000071,CUST00703,5578.69,ATM,electronics,21,0,26,Female,Mumbai,658,28391.36,413,0,0,0,9.4,2.15,3,0,0,1,1,0,0,5.0883,0.042
TXN0000072,CUST02450,3787.91,Card,healthcare,0,6,19,Female,Ahmedabad,1812,29252.0,564,0,0,0,9.4,17.28,2,1,0,4,1,1,1,7.7204,0.036
TXN0000073,CUST02778,520.55,UPI,travel,22,2,35,Male,Delhi,2372,26133.57,432,0,0,0,3.1,10.35,2,0,0,4,2,0,0,50.1075,0.0
TXN0000074,CUST01580,8361.35,Card,dining,6,2,30,Male,Hyderabad,2056,21796.64,810,0,0,0,43.7,20.53,3,0,0,3,1,0,0,2.6065,0.0304
TXN0000075,CUST00162,10050.44,Card,grocery,3,2,62,Male,Pune,2906,32599.86,678,0,0,0,35.0,7.77,4,0,0,3,2,0,1,3.2433,0.0299
TXN0000076,CUST00202,944.73,ATM,unknown,8,1,25,Female,Pune,56,21197.09,352,0,0,0,15.4,2.7,1,1,1,3,1,0,0,22.4135,0.1158
TXN0000077,CUST01982,9502.68,NEFT,entertainment,2,6,27,Male,Pune,1597,29337.89,423,1,1,1,0.8,0.97,3,0,0,3,1,1,1,3.087,0.5156
TXN0000078,CUST00996,10512.42,ATM,healthcare,4,0,44,Female,Bangalore,2599,22761.37,360,0,1,0,5.1,3.72,2,3,0,4,1,0,1,2.165,0.2315
TXN0000079,CUST02318,3986.19,NEFT,grocery,20,1,34,Female,Pune,3028,40612.93,688,0,0,0,4.2,2.59,4,0,0,4,1,0,0,10.1859,0.0114
TXN0000080,CUST00816,5338.17,Card,grocery,23,5,41,Female,Mumbai,274,37390.94,757,1,0,0,15.4,11.3,5,1,0,2,5,1,0,7.0031,0.0061
TXN0000081,CUST00456,2408.25,IMPS,electronics,9,4,38,Male,Pune,1121,19322.51,684,0,0,0,3.4,12.41,2,0,0,1,1,0,0,8.0201,0.0329
TXN0000082,CUST01276,1654.98,UPI,travel,9,2,18,Male,Delhi,1851,22362.56,718,0,0,0,11.3,7.0,1,0,0,3,1,0,0,13.5041,0.0
TXN0000083,CUST01017,6400.37,UPI,healthcare,3,6,33,Male,Delhi,2706,21838.96,749,0,0,0,4.3,7.28,1,0,0,3,1,1,1,3.4116,0.0923
TXN0000084,CUST02344,9897.99,UPI,electronics,16,6,60,Female,Kolkata,1122,26642.56,880,0,0,0,6.7,24.13,7,0,0,2,2,1,0,2.6914,0.0561
TXN0000085,CUST02768,5307.7,UPI,electronics,20,4,50,Male,Bangalore,2815,4053.53,460,0,0,0,7.2,1.87,3,0,0,2,1,0,0,0.7636,0.0
TXN0000086,CUST00338,3583.01,UPI,electronics,16,5,23,Female,Mumbai,1235,29584.16,634,1,0,0,5.2,1.38,4,0,0,2,3,1,0,8.2545,0.0797
TXN0000087,CUST00879,865.37,Card,entertainment,18,3,29,Female,Bangalore,1578,11218.65,620,1,0,0,6.1,0.9,1,0,0,4,1,0,0,12.949,0.0
TXN0000088,CUST01077,274.7,NEFT,electronics,5,6,49,Male,Delhi,565,19268.45,671,0,0,0,3.4,7.75,2,0,0,4,1,1,1,69.8892,0.0559
TXN0000089,CUST00792,2950.17,NEFT,unknown,0,4,65,Female,Kolkata,1057,31287.51,820,0,0,0,29.7,18.22,4,0,0,4,1,0,1,10.6017,0.0265
TXN0000090,CUST02265,253.04,NEFT,grocery,13,4,28,Female,Chennai,2325,42431.13,718,1,0,0,72.0,13.29,2,0,0,4,2,0,0,167.0254,0.0755
TXN0000091,CUST00764,4212.12,UPI,entertainment,12,6,35,Female,Bangalore,3015,23620.76,616,0,0,1,30.5,1.11,2,0,0,1,1,1,0,5.6065,0.1562
TXN0000092,CUST02236,2412.24,NEFT,dining,2,4,19,Male,Pune,1468,29319.69,627,0,0,0,9.1,8.42,4,0,0,3,1,0,1,12.1495,0.0558
TXN0000093,CUST00380,7077.36,Card,grocery,22,6,49,Female,Delhi,1678,13667.3,834,1,0,0,28.2,0.5,2,0,1,2,1,1,0,1.9309,0.1203
TXN0000094,CUST00493,1823.88,UPI,entertainment,1,6,66,Female,Ahmedabad,2849,21423.97,745,1,0,0,1.3,1.63,5,1,0,3,1,1,1,11.7399,0.0299
TXN0000095,CUST01181,4494.5,IMPS,travel,21,6,66,Male,Bangalore,2948,16957.84,794,0,0,0,8.7,2.82,8,1,0,4,1,1,0,3.7722,0.0
TXN0000096,CUST02063,3857.53,NEFT,dining,6,1,37,Male,Delhi,427,27217.04,727,0,0,0,10.1,6.71,5,0,0,1,1,0,0,7.0537,0.0
TXN0000097,CUST00065,23.62,IMPS,dining,11,4,38,Female,Kolkata,3202,14423.25,486,0,0,0,0.3,5.47,3,0,0,4,1,0,0,585.8347,0.0842
TXN0000098,CUST02569,375.72,UPI,grocery,1,5,53,Male,Bangalore,296,36559.54,618,0,0,0,60.0,13.71,6,0,0,3,2,1,1,97.047,0.0595
TXN0000099,CUST01368,1715.05,Card,healthcare,10,2,55,Male,Delhi,562,18081.68,566,0,0,0,12.5,17.16,6,2,1,1,1,0,0,10.5368,0.0345
TXN0000100,CUST01153,10695.32,Card,dining,15,0,73,Female,Mumbai,2527,22589.59,898,1,0,0,88.2,28.53,1,0,0,2,1,0,0,2.1119,0.0877
TXN0000101,CUST02028,795.07,ATM,entertainment,4,3,44,Female,Kolkata,2623,17644.8,495,0,0,0,6.5,11.21,2,3,0,1,2,0,1,22.1649,0.1611
TXN0000102,CUST02696,6204.82,Card,travel,16,2,64,Female,Ahmedabad,110,12340.57,636,1,0,0,77.2,3.61,2,0,1,2,1,0,0,1.9885,0.0944
TXN0000103,CUST01496,18127.94,IMPS,grocery,2,0,28,Male,Hyderabad,862,8723.49,819,0,0,0,19.0,8.57,3,1,1,2,3,0,1,0.4812,0.2669
TXN0000104,CUST01163,7816.77,Card,electronics,13,2,35,Male,Hyderabad,1344,1278.58,798,0,1,0,10.8,12.24,3,2,0,1,1,0,0,0.1635,0.1237
TXN0000105,CUST01523,1391.6,Card,unknown,15,4,34,Female,Kolkata,3250,23701.01,389,2,0,0,35.7,2.44,5,0,0,4,1,0,0,17.0193,0.0864
TXN0000106,CUST02641,11949.72,ATM,unknown,16,3,51,Female,Ahmedabad,3466,34968.98,808,0,0,0,15.6,6.47,2,1,0,2,1,0,0,2.9261,0.0599
TXN0000107,CUST00392,488.65,Card,travel,18,6,62,Male,Bangalore,3316,20002.47,476,0,0,1,35.1,4.61,3,0,0,2,5,1,0,40.8505,0.2093
TXN0000108,CUST01699,3156.89,NEFT,electronics,3,2,43,Female,Pune,2645,12105.12,819,1,0,0,14.1,12.45,2,0,0,4,1,0,1,3.8333,0.137
TXN0000109,CUST00419,10925.87,UPI,entertainment,20,3,23,Female,Delhi,2162,16862.18,414,0,0,0,10.8,1.16,5,0,0,1,1,0,0,1.5432,0.0
TXN0000110,CUST02337,5125.87,ATM,entertainment,19,1,60,Male,Hyderabad,3188,21958.79,333,0,0,1,18.7,20.63,1,0,0,1,2,0,0,4.2831,0.1608
TXN0000111,CUST00379,2669.15,NEFT,healthcare,19,1,47,Male,Ahmedabad,1687,17568.55,843,0,0,0,28.2,1.21,4,1,1,3,1,0,0,6.5796,0.098
TXN0000112,CUST01797,1732.3,Card,grocery,8,4,69,Female,Ahmedabad,549,34360.39,399,0,0,0,1.0,21.39,1,0,0,2,1,0,0,19.8237,0.0519
TXN0000113,CUST02279,2350.81,UPI,grocery,10,4,56,Female,Hyderabad,1608,37894.33,381,0,1,0,10.3,1.79,3,0,0,4,3,0,0,16.1128,0.1949
TXN0000114,CUST02089,3555.96,NEFT,electronics,4,1,67,Female,Kolkata,2186,22334.52,682,0,0,1,3.7,17.87,2,0,1,3,1,0,1,6.2791,0.209
TXN0000115,CUST02183,1921.29,Card,grocery,10,2,49,Male,Bangalore,3481,8770.04,807,0,0,0,59.8,24.12,2,0,0,2,1,0,0,4.5623,0.0368
TXN0000116,CUST00201,17363.66,Card,healthcare,12,6,34,Female,Pune,3361,14849.49,548,1,1,0,71.5,10.36,3,0,0,3,2,1,0,0.8552,0.5447
TXN0000117,CUST01864,13521.11,NEFT,travel,20,0,30,Female,Bangalore,2577,23559.86,618,0,1,0,48.1,28.24,1,1,0,4,1,0,0,1.7423,0.151
TXN0000118,CUST00780,10227.0,UPI,healthcare,1,0,70,Male,Bangalore,883,11291.49,864,0,0,0,14.4,4.15,4,0,0,4,1,0,1,1.104,0.0691
TXN0000119,CUST02978,2739.44,UPI,grocery,21,6,63,Male,Chennai,280,24925.76,366,1,0,0,28.2,4.9,3,0,1,1,1,1,0,9.0955,0.1125
TXN0000120,CUST00503,5876.96,Card,dining,1,1,58,Male,Mumbai,177,28958.9,457,0,0,0,51.1,5.66,3,3,0,3,2,0,1,4.9267,0.1772
TXN0000121,CUST02455,11656.43,UPI,dining,9,0,30,Male,Kolkata,746,22943.85,870,0,0,0,41.1,39.39,2,0,0,3,1,0,0,1.9682,0.0
TXN0000122,CUST01752,9499.94,Card,electronics,12,2,23,Male,Mumbai,2290,24800.12,708,1,0,0,15.3,0.88,2,2,0,4,2,0,0,2.6103,0.0438
TXN0000123,CUST00805,2674.97,Card,travel,4,0,39,Female,Ahmedabad,2590,15400.34,460,0,0,1,3.2,0.1,4,1,0,1,1,0,1,5.755,0.3136
TXN0000124,CUST02147,596.09,IMPS,dining,10,5,50,Male,Mumbai,1601,17508.84,827,0,0,0,48.1,0.64,5,0,0,2,2,1,0,29.3236,0.0
TXN0000125,CUST02732,393.22,UPI,healthcare,14,0,50,Female,Delhi,3454,24365.93,860,0,0,0,34.4,8.06,3,0,0,3,1,0,0,61.8079,0.0
TXN0000126,CUST01896,4302.67,UPI,grocery,4,6,21,Male,Delhi,2129,19583.45,558,0,0,0,10.3,2.99,1,1,0,1,3,1,1,4.5504,0.029
TXN0000127,CUST02774,5144.89,NEFT,healthcare,19,5,31,Female,Mumbai,1820,25091.96,794,0,0,0,12.5,8.01,2,0,0,2,1,1,0,4.8761,0.0
TXN0000128,CUST01571,9480.36,NEFT,unknown,4,6,67,Male,Kolkata,13,13751.42,569,0,0,0,90.6,9.12,1,0,0,4,1,1,1,1.4504,0.0
TXN0000129,CUST00961,1730.19,UPI,entertainment,6,1,65,Male,Kolkata,1721,10015.52,534,0,0,0,18.4,7.95,6,1,0,2,1,0,0,5.7853,0.0781
TXN0000130,CUST02661,916.43,ATM,entertainment,9,3,52,Male,Bangalore,444,22548.98,536,0,0,1,3.7,7.14,6,0,0,3,1,0,0,24.5784,0.1415
TXN0000131,CUST01486,2382.17,NEFT,grocery,1,3,44,Female,Chennai,138,36391.07,496,0,0,0,3.6,5.99,3,2,0,1,2,0,1,15.27,0.0879
TXN0000132,CUST02691,2181.49,UPI,travel,0,2,23,Female,Mumbai,1217,8992.04,672,1,1,0,1.3,4.68,3,0,1,2,2,0,1,4.1201,0.3528
TXN0000133,CUST01029,710.52,UPI,entertainment,19,3,18,Male,Pune,3412,38832.18,328,0,1,1,17.7,4.68,1,0,0,3,2,0,0,54.5764,0.3165
TXN0000134,CUST00503,5578.02,ATM,dining,22,4,60,Female,Bangalore,2439,39609.66,448,1,0,0,0.5,2.84,1,0,0,2,1,0,0,7.0998,0.0507
TXN0000135,CUST02815,3553.42,UPI,electronics,0,1,45,Female,Hyderabad,831,6034.32,707,0,0,0,34.0,6.07,2,0,0,1,1,0,1,1.6977,0.1337
TXN0000136,CUST00398,6384.92,UPI,unknown,3,5,46,Female,Chennai,1504,37572.01,540,0,0,0,7.7,9.55,2,0,0,1,1,1,1,5.8836,0.042
TXN0000137,CUST00871,2174.66,UPI,travel,14,5,49,Male,Delhi,3610,11140.77,583,0,0,0,8.4,33.67,1,0,0,4,1,1,0,5.1206,0.0
TXN0000138,CUST02843,1970.42,Card,unknown,14,3,45,Male,Ahmedabad,3309,29427.19,484,0,0,0,28.6,15.5,3,0,0,3,1,0,0,14.9269,0.0005
TXN0000139,CUST00393,3198.75,ATM,dining,5,0,44,Male,Kolkata,1653,40586.37,678,0,0,0,2.2,28.99,3,0,0,1,3,0,1,12.6842,0.094
TXN0000140,CUST00207,10494.44,UPI,entertainment,5,3,27,Female,Hyderabad,455,28767.85,764,1,0,0,15.0,2.96,6,1,0,3,1,0,1,2.741,0.2592
TXN0000141,CUST01039,205.58,UPI,entertainment,0,1,35,Female,Hyderabad,550,30349.13,545,0,0,0,9.2,3.43,3,0,0,4,1,0,1,146.9122,0.0858
TXN0000142,CUST01882,8169.49,UPI,dining,6,0,21,Female,Ahmedabad,2358,33080.28,405,0,0,0,2.1,4.34,1,0,0,3,1,0,0,4.0488,0.0
TXN0000143,CUST02940,2302.15,Card,grocery,4,0,55,Male,Pune,1581,55933.07,321,2,0,0,7.1,41.02,3,1,0,2,1,0,1,24.2855,0.0992
TXN0000144,CUST01485,9641.99,UPI,grocery,21,5,68,Male,Pune,488,18966.81,573,1,1,0,19.8,9.0,6,2,0,2,1,1,0,1.9669,0.2073
TXN0000145,CUST00864,8102.57,ATM,dining,16,6,58,Female,Ahmedabad,368,37416.65,612,0,1,0,21.8,20.73,4,0,0,3,2,1,0,4.6173,0.191
TXN0000146,CUST02791,2144.39,UPI,unknown,6,1,59,Male,Kolkata,1193,12302.33,885,0,1,0,2.7,20.16,3,0,1,4,3,0,0,5.7343,0.2105
TXN0000147,CUST00564,5918.83,UPI,dining,3,2,69,Female,Pune,173,12879.57,797,0,1,0,55.8,26.0,1,0,0,3,1,0,1,2.1757,0.2518
TXN0000148,CUST01021,869.58,UPI,grocery,2,2,72,Male,Hyderabad,1243,28608.42,844,0,0,0,4.1,2.76,5,0,0,1,1,0,1,32.8613,0.1574
TXN0000149,CUST00096,11330.38,ATM,electronics,11,1,49,Female,Ahmedabad,3490,34598.6,424,1,0,0,21.8,8.75,6,2,1,3,1,0,0,3.0533,0.105
TXN0000150,CUST01924,2591.69,Card,dining,14,5,22,Male,Bangalore,588,31116.17,628,1,0,0,7.9,10.77,1,0,0,4,1,1,0,12.0015,0.1006
TXN0000151,CUST01758,3040.59,IMPS,dining,19,6,39,Female,Mumbai,3386,20986.37,317,0,0,1,24.3,8.65,2,0,0,1,1,1,0,6.8998,0.2372
TXN0000152,CUST02533,6116.78,UPI,unknown,8,1,74,Male,Hyderabad,1615,21187.54,419,0,0,0,33.6,23.09,4,0,1,1,1,0,0,3.4633,0.0
TXN0000153,CUST02279,8597.39,UPI,travel,20,1,65,Female,Mumbai,1236,16533.47,697,0,0,0,1.7,33.25,1,0,0,2,1,0,0,1.9229,0.0321
TXN0000154,CUST02797,1348.18,Card,electronics,11,0,74,Male,Hyderabad,3210,28067.9,651,0,0,0,31.9,3.0,2,0,0,1,5,0,0,20.8037,0.0679
